"date","prop_mstl_namer","prop_mstl_ameri","prop_mstl_latam","prop_mstl_europ","prop_mstl_asiao","mstl_all"
"05/2018",0.0599892605985766,0.546391720101088,0.326344843072566,0.340543098636388,0.585104514092742,14.5535792738953
"06/2018",0.188630505971814,0.533218647407347,0.492725477502512,0.239235903621042,0.50668749703152,13.6019572793015
"07/2018",0.06313968369504,0.656217965820388,0.593078282125349,0.263298747331212,0.568977315324169,14.4437690856145
"08/2018",0.0755947981728891,0.670979554567248,0.595384756394358,0.310080030785195,0.649107390024067,13.25117886397
"09/2018",0.195774641086896,0.481372650728779,0.361941222752456,0.282297883687653,0.432261457045577,14.2334102465842
"10/2018",0.0461398277936476,0.488689503408008,0.488689503408008,0.258699949694659,0.527418476912266,11.5898452674191
"11/2018",0.0521271334157609,0.494047449135331,0.479613983142248,0.371457549445942,0.56636365033916,13.2982885189769
"12/2018",0.0692517258683152,0.681045413640223,0.555302863608737,0.28927881582615,0.419522667598153,11.1370055592295
"01/2019",0.0478533535463417,0.539000516258554,0.539000516258554,0.246605941651801,0.454040797815925,12.7131382898633
"02/2019",0.116008184453511,0.357256392590578,0.357256392590578,0.255811879912701,0.546376678978431,13.8729056706621
"03/2019",0.0485428363160058,0.334894260217445,0.295917472137741,0.364623068104304,0.415373312831954,12.298703836065
"04/2019",0.0514568319832156,0.479295898152662,0.427839066169447,0.408068902625887,0.727853500511487,15.90497123238
"05/2019",0.142959808073356,0.498870147870318,0.36917246927056,0.188917636350027,0.681537997430109,12.8608048100311
"06/2019",0.0561135773612432,0.713084777457223,0.61888743778858,0.430384624306266,0.43476251330054,13.6556215533308
"07/2019",0.0510286352785693,0.568465033840038,0.44773844818188,0.280531382127702,0.381640699107787,15.2617803620293
"08/2019",0.134469519946914,0.443051069323965,0.443051069323965,0.213027325742766,0.387389022387646,10.7351396872087
"09/2019",0.13837031761484,0.570668061168485,0.518661067603425,0.442668680496652,0.638419971130532,13.9638608620626
