"","block","america","europe","asia","commodities","bonds","all_indices"
"155",155,3.44766635676141,2.73412587452877,3.82946743199157,2.50908390268235,1.20559856441872,14.8014776697239
"156",156,3.49833850770762,2.77448483617327,3.86997622593242,2.51244069011548,1.24664450613816,15.0306002868328
"157",157,3.52224214283355,2.83340390742203,3.84124074562792,2.48969140569555,1.19956571386912,14.9327966559763
"158",158,3.89569685572423,3.08901000182513,4.01914694136453,2.61787327549836,1.08108218475479,15.7444789450563
"159",159,3.88982031198087,3.32443541080306,4.66730448369646,2.62993536521874,0.940998424591538,16.8456562380182
"160",160,3.98678752860994,3.29689986435345,4.7141675946511,2.59366661208643,0.967325193488093,17.0314983792845
"161",161,3.95441349184881,3.3847193712401,4.66854825847183,2.60937818080468,0.946122189099321,16.9295535182518
"162",162,4.02045810573685,3.49423538763677,4.84731350568801,2.52054309147195,0.917365780898716,17.0381452501791
"163",163,4.18632668417423,3.39886861122629,5.26518646287447,2.66734270040466,0.846589994203028,17.6095246367629
"164",164,4.27082743205722,3.53982318244853,5.08735756928963,2.74391995616659,0.823340708165701,17.5833260670144
"165",165,4.38246680722675,3.59973000775642,5.31150265024844,2.75382177157652,0.814358281938548,18.0332653251082
"166",166,4.69758695254481,3.65922459896755,5.52350847253136,2.55910190911359,0.881520849587921,18.8686205811448
"167",167,4.88251010596604,4.1284483512703,5.38602788333082,2.56328765167359,0.967314011782887,19.4657386614325
"168",168,4.86842124832054,4.27293123067144,5.64173166791219,2.5981301202223,0.887436341382466,20.09743914377
"169",169,4.99820414313696,4.02184346442239,5.7459473132753,2.56876053395037,0.894544169012443,20.0202660844796
"170",170,4.93018619423561,3.93582578517585,5.80012315412467,2.64133958084108,0.92478301841623,20.039326719414
"171",171,4.1151758396139,3.47252426081544,4.51002377622585,2.56942090699437,0.871259584837317,17.0363428613021
"172",172,3.75181349419549,2.99686322012341,4.5655462782532,2.44147968790413,0.900166271810594,16.1572940857816
"173",173,3.7086427680415,3.11106467617288,4.60149710280565,2.5813730254349,0.941278119857936,16.1732116462249
"174",174,3.89824876476066,3.22189767074605,4.67104490496364,2.59310264935967,0.892993887940588,16.2639131668477
"175",175,4.08833861794059,3.31800524456686,4.59900180998367,2.46573077205887,0.943552155049327,16.7450928431162
"176",176,4.12694989633845,3.34259727621946,4.51432370540179,2.50405499834157,0.987609821691722,16.8820656936628
"177",177,4.16861914130017,3.30092246486777,4.2866067787716,2.47857104118109,1.01047917904429,16.5772626973885
"178",178,4.00194632547903,3.13930415286505,4.00137700083093,2.54807029010213,0.990772430566167,15.9750570136915
"179",179,4.32530655403659,3.3227902383631,4.01557186027756,2.59715806756161,1.16717119011651,16.7370741194393
"180",180,4.46948612307409,3.45738480026065,4.09769724126409,2.78809712333951,1.2477661999668,17.0359236316247
"181",181,4.27965293418824,3.38336755296879,4.04954420496914,2.6863902393551,1.19576365677413,16.6105816846941
"182",182,4.2815353428462,3.37867916346556,3.87261408871134,2.67666713119839,1.29493790643944,16.448461273804
"183",183,4.12408769679241,3.20319257095016,3.96499437819706,2.70609914954385,1.26948134900342,16.1452443697527
